UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
45	0
9	0
0	0
0	0
0	0
20	0
0	0
0	0
2023	89
0	176
605	343
0	177
0	237
1	78
0	54
0	224
2	123
0	63
119	5099
7	4936
0	0
0	0
0	5162
63	7871
337	1607
4	5153
12	542
0	274
1092	7532
1	2815
4	0
0	0
0	0
2	7
0	5
0	7
0	0
2	295
0	590
88	5909
1	244
9	101
0	2551
3	4800
0	877
0	1765
12	23
0	381
0	21
0	72
0	451
2	22
0	1071
0	0
26	1
0	2011
0	2009
18	2035
2	18
0	25
1	1534
17	1374
1	157
0	2011
0	146
0	62
0	224
2	143
43	0
0	0
57	313
0	0
0	0
0	0
0	0
1203	4932
15	416
0	15
0	3566
0	908
19	0
0	189
1	4666
34	4603
161	222
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
994	0
0	76
0	76
0	2
4	14
0	65
1	3693
16228	0
5	1
0	0
0	0
0	0
0	0
3	143
0	144
0	145
0	0
0	116
0	115
0	143
0	1
0	18
0	115
0	9
0	13
17	16
0	27
0	23
0	25
5	16
0	4
0	0
0	0
0	0
0	2
38	226
3	21
0	20
0	110
0	15
5	137
4	169
0	17
0	113
0	21
0	7
0	227
0	44
2	0
4	0
0	0
0	0
3	16
0	22
0	2
0	0
0	25
0	3
0	8
0	1
0	20
0	0
0	0
1	15
1	0
0	0
724	447
0	22
0	150
0	45
0	62
0	79
0	247
0	77
27	5321
20	1848
6	387
0	677
15	1622
508	5590
0	1438
0	1434
2	0
0	3172
3	463
0	0
0	1
0	0
0	0
3	7
0	0
0	1
0	168
1	160
0	102
0	43
0	163
0	0
0	0
0	0
0	41
3	63
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	0
34	0
25	0
0	3701
187	1247
2362	1247
0	0
2	0
0	0
0	0
18	86
0	40
0	73
1	40
6	0
0	0
0	0
242	168
0	166
0	0
0	0
0	0
0	0
17	0
0	0
21	1491
0	222
293	1491
0	93
0	8
15	13
0	10
0	0
0	0
0	0
2684	1966
4	328
0	1130
23	1086
0	0
6	0
0	0
65	0
0	405
0	65
139	413
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
369	4375
0	4374
0	1046
0	1047
12	0
1	0
19	1
0	0
0	0
192	1032
88	1032
1	0
3	4
0	4
0	0
0	0
59	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	106
465	150
0	144
0	0
0	0
18	0
0	0
0	9
