UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
39	0
4	0
0	0
0	0
0	0
21	0
0	0
0	0
1896	88
0	221
720	399
0	221
0	322
0	62
0	80
2	243
0	172
14	61
142	5451
4	5291
0	0
0	0
1	5098
82	7993
483	1607
4	5170
3	420
1	324
1247	7693
0	2646
3	0
0	0
0	0
3	0
0	0
0	0
0	0
4	289
0	654
85	5979
0	226
6	118
0	2719
0	4799
1	905
0	1606
13	27
0	282
0	21
0	38
4	444
0	6
0	1060
0	0
39	1
3	2480
0	2481
28	2509
1	29
3	48
0	1768
33	1534
6	202
0	2487
2	159
0	95
0	256
18	241
41	0
0	0
62	396
0	0
0	0
0	0
0	0
972	4867
14	437
0	24
0	3525
0	807
3	0
0	145
0	4596
26	4482
205	269
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1071	0
0	79
0	77
0	2
0	9
0	68
0	3927
15289	3
4	5
0	4
0	0
0	0
0	0
0	158
0	156
0	163
0	2
0	122
0	127
0	161
0	4
0	12
0	135
0	20
0	8
23	24
0	54
0	44
0	44
0	29
5	10
0	0
0	0
2	0
0	0
35	255
7	30
0	23
0	120
0	24
0	155
15	207
0	24
0	126
0	40
0	12
5	250
0	48
0	0
25	0
0	0
0	0
0	28
0	41
0	0
0	6
0	20
0	0
0	10
0	4
0	34
0	0
0	0
4	11
0	1
0	0
822	550
0	1
0	177
4	63
0	47
0	46
0	312
0	93
49	7425
52	2404
17	618
2	923
38	2053
663	7676
0	1755
4	1749
6	0
0	4664
0	614
0	0
1	1
0	0
0	0
5	11
0	0
0	1
0	245
0	216
0	115
0	52
0	211
0	2
0	6
0	4
0	17
0	125
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	0
31	1
13	0
5	4464
159	1132
2059	1132
0	0
4	0
0	0
0	0
17	101
0	44
4	71
0	38
13	0
0	0
0	0
212	380
0	380
0	0
0	0
0	0
0	0
12	0
0	0
38	1813
0	279
211	1806
4	181
0	14
4	16
0	5
0	0
0	0
0	0
3056	2061
15	430
1	1103
5	1029
0	0
5	0
0	0
85	0
0	394
0	68
107	402
14	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
254	4114
0	4113
0	1037
0	1041
9	0
1	3
44	3
0	0
0	0
209	1051
98	1051
4	0
1	11
0	11
0	6
0	0
46	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	112
419	162
0	161
0	0
0	0
29	0
0	0
0	18
