UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
30	0
12	0
0	0
3	0
0	0
38	0
0	0
1	0
1529	47
0	243
1030	509
0	245
3	327
0	95
4	68
5	334
0	173
22	98
91	4780
5	4639
2	0
0	0
0	3445
47	5295
294	990
93	3273
30	292
1	175
624	5017
34	1667
0	0
0	0
0	0
13	20
0	17
0	20
0	16
5	219
0	517
62	4867
9	218
11	87
0	2189
0	3905
17	746
0	1357
20	7
3	203
0	15
0	24
2	336
52	26
0	827
0	0
76	5
10	2082
8	2080
16	2089
0	8
0	24
1	1538
11	1359
6	157
0	2067
1	87
0	54
0	235
1	172
48	0
0	0
93	518
0	0
0	0
0	0
0	0
1522	6407
16	547
2	13
0	4603
0	1106
104	0
6	225
15	6062
49	5948
184	150
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
864	1
35	1060
7	1017
0	34
2	99
0	900
0	2335
11193	6
2	6
0	4
4	0
0	0
0	0
18	1052
0	1008
0	1064
0	4
0	732
4	857
9	1060
4	32
0	133
1	865
12	45
8	90
18	40
0	53
0	42
0	45
0	40
4	7
0	0
0	0
10	0
0	2
46	362
38	38
0	37
0	154
0	25
2	165
33	188
0	27
0	150
0	31
0	17
0	341
0	50
19	0
110	6
0	19
1	13
9	35
3	36
0	8
0	5
0	66
0	3
0	28
0	10
0	27
0	0
0	0
5	6
0	0
0	0
8098	4734
9	132
1	1538
2	629
0	476
0	534
0	2521
0	625
26	3973
58	1277
5	246
4	396
15	1047
386	4133
1	994
7	973
17	0
0	2417
0	319
6	0
0	1
0	0
0	0
0	5
0	0
0	19
6	2105
12	1925
13	1158
5	622
0	1926
0	21
0	51
8	46
1	260
39	918
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	0
30	0
12	0
7	5706
54	566
1068	566
7	0
18	0
0	0
0	0
14	129
1	54
1	98
10	45
30	0
0	0
0	0
530	528
2	528
5	0
0	0
0	0
0	0
17	0
0	0
14	1399
0	209
197	1402
1	95
2	19
19	30
1	17
0	0
0	0
0	0
2481	1733
17	297
0	932
41	944
4	0
3	0
0	0
106	0
0	256
0	36
68	264
7	1
0	0
0	0
0	0
0	0
0	0
0	1
0	1
5	2
0	2
0	2
0	1
0	1
0	0
1	14
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1258	14520
0	14521
0	3373
0	3388
15	0
1	3
70	3
0	0
1	0
123	647
54	647
1	0
6	10
0	10
0	8
0	1
47	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
2	0
1	0
0	0
8	104
889	145
0	153
0	1
0	1
10	0
