UniqueCount	AmbigCount
0	0
0	0
0	0
3	0
62	0
13	0
0	0
0	0
0	0
28	0
0	0
0	0
1794	69
0	239
786	517
0	241
0	253
0	116
0	59
7	357
0	123
31	51
117	5515
2	5285
0	0
1	0
0	3938
74	6157
397	1101
166	3981
37	343
0	183
678	5886
57	2008
5	6
0	0
0	3
24	26
0	18
0	26
0	17
0	266
0	626
83	6341
11	289
7	130
0	2762
0	5144
27	887
0	1833
46	21
1	380
1	12
0	74
11	489
70	36
0	1086
0	0
47	3
11	2593
3	2585
28	2639
5	29
20	33
4	1963
25	1709
0	162
0	2588
0	146
0	105
0	294
0	229
73	0
1	0
110	691
0	0
0	0
0	0
0	0
2231	7696
13	602
2	5
0	5375
7	1465
165	0
3	258
34	7288
40	7125
204	166
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
1010	0
37	765
4	705
0	22
0	118
0	637
0	2846
15203	2
7	1
0	0
4	0
0	0
0	0
7	508
0	494
0	534
0	0
0	379
1	465
0	508
0	35
3	84
3	447
20	16
18	35
17	34
0	57
0	45
0	39
2	36
0	4
0	0
0	0
30	0
0	8
69	502
78	53
0	44
0	193
0	19
6	207
65	254
0	22
0	177
3	40
0	12
0	477
0	78
40	0
235	10
0	26
5	15
27	55
0	53
0	2
0	10
0	86
0	24
5	23
1	8
0	52
0	0
0	0
6	7
2	0
0	0
6722	4250
14	75
0	1518
3	546
0	538
0	513
0	2213
0	491
37	4765
57	1576
17	353
3	606
25	1346
385	4942
3	1181
2	1174
14	0
0	2831
3	371
15	0
0	0
0	0
0	0
5	4
0	0
0	18
0	651
7	579
8	384
0	192
0	595
0	14
0	33
3	24
0	93
7	260
0	0
0	0
0	0
0	0
0	0
0	0
0	0
31	0
64	0
32	0
5	5989
97	874
1963	874
4	0
10	0
0	0
0	0
19	164
0	64
1	121
18	57
47	0
0	0
0	0
365	299
7	299
0	0
0	0
0	0
0	0
12	0
0	0
33	1791
0	271
316	1791
3	79
5	15
19	26
0	19
0	0
0	0
0	0
3505	2454
24	440
0	1342
92	1379
0	0
17	0
0	0
116	0
0	496
0	102
98	506
9	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1213	14476
1	14479
0	3127
0	3135
17	0
4	5
22	5
0	0
0	0
180	931
59	931
1	0
2	6
0	6
0	4
0	0
74	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
13	137
981	240
0	243
0	0
0	0
35	0
0	0
