UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
27	0
8	0
0	0
0	0
0	0
8	0
0	0
0	0
1274	14
0	254
527	398
0	259
0	255
1	88
0	73
1	265
1	184
13	45
212	2713
0	2698
0	0
0	0
13	2389
70	3790
56	778
10	2502
3	377
1	138
580	3610
8	1399
0	0
0	0
0	0
93	78
0	35
0	78
1	53
0	146
0	279
73	4714
0	48
3	58
0	1803
0	4183
5	608
0	1780
8	15
1	583
0	24
1	130
3	518
4	11
0	777
0	0
30	0
7	1105
8	1100
17	1109
0	18
0	34
1	869
6	785
2	149
0	1104
0	53
0	56
0	145
0	80
42	0
0	0
18	147
0	0
0	0
0	0
0	0
1416	4336
2	487
0	2
0	3074
0	1008
52	0
4	277
2	4158
38	3994
76	69
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
367	0
18	371
12	348
1	36
1	51
0	309
1	481
13506	21
0	0
0	0
0	2
0	2
0	0
0	349
0	322
0	359
0	1
0	241
0	312
0	348
0	9
0	29
0	296
1	6
1	22
1	19
0	32
0	26
0	24
3	17
0	3
0	0
0	0
10	0
0	12
28	268
19	29
0	28
0	144
0	12
6	172
16	208
0	28
0	144
0	29
0	21
0	258
0	25
9	0
52	4
1	36
1	25
12	24
0	15
0	0
0	5
0	34
0	1
0	14
0	3
0	17
0	0
0	0
2	7
0	0
0	0
3096	1937
1	10
0	716
0	286
0	336
0	343
0	941
0	294
35	3847
30	1236
18	135
0	552
20	990
149	4074
1	1092
9	1080
3	0
0	2292
0	272
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	678
3	600
0	439
2	242
0	629
0	26
0	31
0	19
5	54
4	220
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
18	0
28	0
1	2677
68	799
1578	802
0	0
2	0
0	0
0	0
11	177
0	87
0	151
1	48
20	0
0	0
0	0
120	149
1	149
0	0
0	0
0	0
0	0
8	0
0	0
4	918
0	157
75	918
0	8
0	8
7	11
0	7
0	0
0	0
0	0
2073	1832
13	482
0	929
33	824
1	0
10	0
0	0
59	0
0	282
0	52
61	298
6	0
0	0
0	0
0	0
0	0
0	0
11	9
1	9
3	5
0	4
0	3
0	0
0	1
0	0
0	3
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
493	5808
2	5810
0	1250
0	1252
6	0
0	0
38	0
0	0
0	0
152	651
80	651
0	0
0	3
0	3
0	3
0	0
35	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
421	21
0	23
0	0
0	0
7	0
0	0
0	12
0	12
0	0
0	0
