UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
36	0
12	0
0	0
0	0
0	0
23	0
0	0
0	0
1878	78
0	218
637	429
0	222
0	347
0	72
0	58
0	268
0	174
1	73
91	5522
1	5343
0	0
0	0
5	4780
88	7549
530	1529
5	4810
7	456
0	248
1101	7252
9	2597
2	0
0	0
0	0
2	5
0	0
0	5
0	0
4	279
0	666
80	5613
0	300
2	127
0	2652
0	4425
0	933
0	1339
40	9
0	240
0	11
0	31
6	384
5	20
0	1015
0	0
40	7
0	3260
0	3263
7	3292
1	16
2	29
5	2521
31	2231
6	270
0	3263
1	210
0	106
0	314
6	253
81	0
0	0
72	331
0	0
0	0
0	0
0	0
1100	5568
19	472
3	6
0	3978
1	957
12	0
0	173
4	5267
25	5141
198	245
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	1
0	0
0	0
0	0
0	0
0	0
1296	0
7	131
0	115
0	8
0	9
4	107
3	4407
17737	3
0	3
0	2
0	0
0	0
0	0
1	208
0	207
0	219
0	0
0	154
0	177
0	210
0	7
0	25
3	170
2	4
0	20
14	28
0	47
0	36
4	40
0	28
4	8
0	0
0	0
1	2
0	2
47	263
3	23
0	21
0	141
0	17
3	164
10	216
0	17
0	137
0	26
0	9
5	269
0	67
4	0
30	0
0	9
0	6
0	14
3	18
0	6
0	7
0	32
0	7
0	15
1	1
0	26
0	0
0	0
4	6
0	1
0	0
903	550
0	10
0	160
0	55
0	65
0	72
0	332
0	60
38	7229
54	2388
8	551
6	788
32	2010
645	7440
1	1806
2	1798
4	0
0	4697
2	535
0	0
0	2
0	0
0	0
2	7
0	0
0	6
1	289
2	270
0	160
0	88
0	273
0	0
0	9
0	8
0	40
3	116
0	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
19	0
28	0
1	3928
114	901
1673	903
2	0
0	0
0	0
0	0
15	91
0	37
0	71
1	35
14	0
0	0
0	0
252	279
2	279
0	0
0	0
0	0
0	0
11	0
0	0
32	1500
0	195
256	1500
5	114
3	12
3	27
0	21
0	0
0	0
0	0
2743	2026
6	371
0	1148
17	1010
0	0
4	0
0	0
35	0
0	396
0	70
76	400
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
340	5287
0	5287
0	1253
0	1257
9	0
0	1
21	1
0	0
0	0
225	1091
92	1091
0	0
7	8
0	8
0	3
0	0
38	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
8	119
490	201
0	197
0	0
0	0
7	0
0	0
0	0
